Temperature [°C],Mole fraction of liquid,Mole percent of Ag in FCC_A1,Mole percent of Ag in HCP_A3,Molar volume of LIQUID,Mole percent of Ag in LIQUID,Temperature [K],Temp (cels),Solid comp. (at% Ag),Mole frac. Liquid,Liquid comp. (at% Ag),k,V_m liq.,V frac liq,V_m FCC,V frac sol,VmL-VmS,delta V norm by VL
620.399,0.649518327,4.994325826,,1.12035E-05,13.01168723,893.549,620.399,5.018236874,0.643976732,13.08052468,0.383641864,1.12028E-05,0.645918096,1.05183E-05,0.353004103,6.84541E-07,0.061104371
620.299,0.646737886,5.006278722,,1.12032E-05,13.0461039,893.449,620.299,5.030200348,0.641234678,13.11494955,0.38354706,1.12024E-05,0.643188776,1.05181E-05,0.355727122,6.843E-07,0.061084847
620.199,0.643976732,5.018236874,,1.12028E-05,13.08052468,893.349,620.199,5.042169212,0.63851154,13.14937852,0.383453043,1.12021E-05,0.640478242,1.0518E-05,0.358431448,6.84059E-07,0.061065337
620.099,0.641234678,5.030200348,,1.12024E-05,13.11494955,893.249,620.099,5.054143534,0.635807137,13.18381158,0.383359813,1.12017E-05,0.637786314,1.05179E-05,0.361117263,6.83818E-07,0.06104584
619.999,0.63851154,5.042169212,,1.12021E-05,13.14937852,893.149,619.999,5.066123383,0.633121288,13.21824871,0.383267367,1.12014E-05,0.635112813,1.05178E-05,0.363784743,6.83578E-07,0.061026356
619.899,0.635807137,5.054143534,,1.12017E-05,13.18381158,893.049,619.899,5.078108826,0.630453817,13.25268992,0.383175707,1.1201E-05,0.632457563,1.05176E-05,0.366434064,6.83337E-07,0.061006886
619.799,0.633121288,5.066123383,,1.12014E-05,13.21824871,892.949,619.799,5.090099931,0.627804547,13.2871352,0.38308483,1.12006E-05,0.62982039,1.05175E-05,0.369065399,6.83097E-07,0.06098743
619.699,0.630453817,5.078108826,,1.1201E-05,13.25268992,892.849,619.699,5.102096768,0.625173306,13.32158454,0.382994737,1.12003E-05,0.627201123,1.05174E-05,0.371678918,6.82857E-07,0.060967987
619.599,0.627804547,5.090099931,,1.12006E-05,13.2871352,892.749,619.599,5.114099405,0.622559923,13.35603793,0.382905427,1.11999E-05,0.624599592,1.05173E-05,0.374274792,6.82617E-07,0.060948558
619.499,0.625173306,5.102096768,,1.12003E-05,13.32158454,892.649,619.499,5.126107911,0.619964229,13.39049538,0.382816899,1.11995E-05,0.622015628,1.05171E-05,0.376853186,6.82378E-07,0.060929142
619.399,0.622559923,5.114099405,,1.11999E-05,13.35603793,892.549,619.399,5.138122356,0.617386056,13.42495687,0.382729152,1.11992E-05,0.619449067,1.0517E-05,0.379414267,6.82138E-07,0.060909739
619.299,0.619964229,5.126107911,,1.11995E-05,13.39049538,892.449,619.299,5.150142808,0.614825239,13.4594224,0.382642186,1.11988E-05,0.616899743,1.05169E-05,0.381958196,6.81899E-07,0.060890351
619.199,0.617386056,5.138122356,,1.11992E-05,13.42495687,892.349,619.199,5.162169338,0.612281616,13.49389198,0.382556,1.11984E-05,0.614367496,1.05168E-05,0.384485136,6.8166E-07,0.060870975
